app,family,variant_id,sample_id,source_ir,function,entity_id,role,bb,def_opcode,use_count,is_loop_carried,is_output_related,fanout,reduction_depth,distance_to_output,same_loop_neighbor_count,num_arith_users,format,format_n,format_es,tol_whole_app_rel_err,actual_whole_app_rel_err,is_feasible_under_tol,margin_to_tol,label_status,notes
sum_reduce_v00,sum_reduce,v00,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v00.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_8_0,8,0,1.000000e-03,9.149430e-03,0,-8.149430e-03,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v00,sum_reduce,v00,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v00.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_8_1,8,1,1.000000e-03,9.149430e-03,0,-8.149430e-03,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v00,sum_reduce,v00,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v00.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_8_2,8,2,1.000000e-03,2.214750e-01,0,-2.204750e-01,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v00,sum_reduce,v00,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v00.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_16_0,16,0,1.000000e-03,2.503830e-04,1,7.496170e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v00,sum_reduce,v00,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v00.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_16_1,16,1,1.000000e-03,2.503830e-04,1,7.496170e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v00,sum_reduce,v00,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v00.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_16_2,16,2,1.000000e-03,2.608190e-05,1,9.739181e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v00,sum_reduce,v00,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v00.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_32_0,32,0,1.000000e-03,1.568230e-08,1,9.999843e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v00,sum_reduce,v00,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v00.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_32_1,32,1,1.000000e-03,3.026750e-09,1,9.999970e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v00,sum_reduce,v00,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v00.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_32_2,32,2,1.000000e-03,3.026750e-09,1,9.999970e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v01,sum_reduce,v01,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v01.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_8_0,8,0,1.000000e-03,5.180840e-01,0,-5.170840e-01,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v01,sum_reduce,v01,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v01.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_8_1,8,1,1.000000e-03,6.465950e-01,0,-6.455950e-01,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v01,sum_reduce,v01,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v01.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_8_2,8,2,1.000000e-03,2.808710e-02,0,-2.708710e-02,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v01,sum_reduce,v01,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v01.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_16_0,16,0,1.000000e-03,5.266500e-04,1,4.733500e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v01,sum_reduce,v01,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v01.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_16_1,16,1,1.000000e-03,2.465470e-05,1,9.753453e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v01,sum_reduce,v01,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v01.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_16_2,16,2,1.000000e-03,1.028650e-03,0,-2.865000e-05,actual_eval,single-accumulator substitution; other entities fixed to fp64
