app,family,variant_id,sample_id,source_ir,function,entity_id,role,bb,def_opcode,use_count,is_loop_carried,is_output_related,fanout,reduction_depth,distance_to_output,same_loop_neighbor_count,num_arith_users,format,format_n,format_es,tol_whole_app_rel_err,actual_whole_app_rel_err,is_feasible_under_tol,margin_to_tol,label_status,notes
ema_recurrence_v00,ema_recurrence,v00,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v00.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_0,8,0,1.000000e-03,1.000000e+00,0,-9.990000e-01,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v00,ema_recurrence,v00,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v00.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_1,8,1,1.000000e-03,1.006420e+00,0,-1.005420e+00,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v00,ema_recurrence,v00,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v00.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_2,8,2,1.000000e-03,2.648040e+00,0,-2.647040e+00,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v00,ema_recurrence,v00,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v00.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_0,16,0,1.000000e-03,3.915340e-03,0,-2.915340e-03,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v00,ema_recurrence,v00,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v00.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_1,16,1,1.000000e-03,9.622290e-03,0,-8.622290e-03,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v00,ema_recurrence,v00,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v00.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_2,16,2,1.000000e-03,3.922240e-03,0,-2.922240e-03,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v00,ema_recurrence,v00,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v00.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_0,32,0,1.000000e-03,9.061750e-09,1,9.999909e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v00,ema_recurrence,v00,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v00.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_1,32,1,1.000000e-03,6.704220e-08,1,9.999330e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v00,ema_recurrence,v00,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v00.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_2,32,2,1.000000e-03,1.105300e-07,1,9.998895e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v01,ema_recurrence,v01,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v01.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_0,8,0,1.000000e-03,3.987010e-02,0,-3.887010e-02,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v01,ema_recurrence,v01,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v01.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_1,8,1,1.000000e-03,2.200970e-01,0,-2.190970e-01,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v01,ema_recurrence,v01,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v01.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_2,8,2,1.000000e-03,1.334420e-01,0,-1.324420e-01,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v01,ema_recurrence,v01,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v01.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_0,16,0,1.000000e-03,7.282220e-05,1,9.271778e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v01,ema_recurrence,v01,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v01.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_1,16,1,1.000000e-03,3.785100e-04,1,6.214900e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v01,ema_recurrence,v01,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v01.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_2,16,2,1.000000e-03,2.984880e-04,1,7.015120e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v01,ema_recurrence,v01,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v01.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_0,32,0,1.000000e-03,2.151670e-09,1,9.999978e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v01,ema_recurrence,v01,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v01.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_1,32,1,1.000000e-03,4.735120e-09,1,9.999953e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v01,ema_recurrence,v01,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v01.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_2,32,2,1.000000e-03,1.248190e-08,1,9.999875e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v02,ema_recurrence,v02,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v02.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_0,8,0,1.000000e-03,4.219630e-03,0,-3.219630e-03,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v02,ema_recurrence,v02,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v02.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_1,8,1,1.000000e-03,4.219630e-03,0,-3.219630e-03,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v02,ema_recurrence,v02,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v02.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_2,8,2,1.000000e-03,4.219630e-03,0,-3.219630e-03,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
