kernel_id,vec_len,dist_type,best_dtype,best_posit_n,best_posit_es,best_mean_rel_err,mean_fp32_rel_err,class_id
dot,16,0,posit_32_0,32.0,0.0,9.007024913125e-09,2.6781579705524997e-07,6
dot,16,1,posit_32_0,32.0,0.0,1.18175072713385e-08,5.488736633914e-07,6
dot,16,2,posit_32_2,32.0,2.0,2.9837205782355e-07,3.0019613910550004e-07,8
dot,16,3,fp32,,,2.618976034149e-07,2.618976034149e-07,9
dot,128,0,posit_32_1,32.0,1.0,4.2132880646970004e-08,1.207232534569e-06,7
dot,128,1,posit_32_0,32.0,0.0,1.876386948354e-08,6.734060295457499e-07,6
dot,128,2,posit_32_2,32.0,2.0,1.6713073574570002e-06,2.4342820055169997e-06,8
dot,128,3,fp32,,,5.2164472066339e-07,5.2164472066339e-07,9
dot,1024,0,posit_32_1,32.0,1.0,2.508682043183e-07,3.2785361219784998e-06,7
dot,1024,1,posit_32_1,32.0,1.0,1.4529705836214997e-07,2.7482822173445e-06,7
dot,1024,2,posit_32_2,32.0,2.0,1.9780812891695006e-06,2.400148193419e-06,8
dot,1024,3,fp32,,,2.9861014538578506e-06,2.9861014538578506e-06,9
sum,16,0,posit_32_1,32.0,1.0,9.480094242099999e-09,3.27415175674e-07,7
sum,16,1,posit_32_0,32.0,0.0,7.407340785185999e-09,5.086235672287999e-07,6
sum,16,2,posit_32_2,32.0,2.0,1.0813306920376003e-07,4.25276174826e-07,8
sum,16,3,posit_32_2,32.0,2.0,6.08244903016e-08,2.1223683433346e-07,8
sum,128,0,posit_32_2,32.0,2.0,5.034116933919999e-08,1.73032154253e-06,8
sum,128,1,posit_32_1,32.0,1.0,3.076327887102e-08,5.00080841594e-07,7
sum,128,2,posit_32_2,32.0,2.0,7.4485228004e-08,4.34541992116e-07,8
sum,128,3,fp32,,,4.3181163380599997e-07,4.3181163380599997e-07,9
sum,1024,0,posit_32_1,32.0,1.0,1.1011389392800002e-07,1.1200429600400001e-06,7
sum,1024,1,posit_32_1,32.0,1.0,1.46209736454e-07,1.4256584452899998e-06,7
sum,1024,2,posit_32_2,32.0,2.0,1.40374223114e-07,1.07753922175e-06,8
sum,1024,3,posit_32_2,32.0,2.0,7.24753741994e-07,1.4348255432760002e-06,8
axpy_sum,16,0,posit_32_0,32.0,0.0,1.07730808558e-08,2.9693496777400004e-07,6
axpy_sum,16,1,posit_32_0,32.0,0.0,6.59051166462e-09,3.2837428253800006e-07,6
axpy_sum,16,2,posit_32_2,32.0,2.0,5.32466905336e-08,3.42564757924e-07,8
axpy_sum,16,3,posit_32_2,32.0,2.0,1.22898974248e-07,3.3697618305399995e-07,8
axpy_sum,128,0,posit_32_2,32.0,2.0,7.9985548553434e-08,3.6064945194346006e-06,8
axpy_sum,128,1,posit_32_1,32.0,1.0,2.6515230206e-08,5.684988218479999e-07,7
axpy_sum,128,2,posit_32_2,32.0,2.0,9.89842683364e-08,1.5646054207800002e-06,8
axpy_sum,128,3,posit_32_2,32.0,2.0,3.2269316671600006e-07,6.18320185912e-07,8
axpy_sum,1024,0,posit_32_2,32.0,2.0,2.21955695912e-07,1.345594181706e-06,8
axpy_sum,1024,1,posit_32_1,32.0,1.0,7.069298477536e-07,3.2234776080999997e-06,7
axpy_sum,1024,2,posit_32_2,32.0,2.0,1.6983074241799998e-07,1.4864284198799998e-06,8
axpy_sum,1024,3,posit_32_2,32.0,2.0,7.02022550132e-07,1.09726204796e-06,8
relu_sum,16,0,posit_32_1,32.0,1.0,2.139631849382e-09,3.8096839143352e-08,7
